stereotype, GUID
dAction,{52762144-0680-48eb-9F4C-5691D8B5F520}
dActivity,{E6AE40A9-4876-4876-8525-AF0B58BEFF46}
dActor,{C9C86C4A-30CA-4753-AB53-29705C34A964}
dAPI,{A74025BE-3836-4fd7-B9BF-799FEA518081}
dAPIOperation,{CE51691A-A738-4844-9ED0-23A354223612}
dAPIParameter,{2152322F-DC63-4b27-865C-5BCE38895FDB}
dAPIResponse,{EE31E97C-3124-47fd-8825-F247283B762E}
dApplicationComponent,{B6B92CC9-C80A-4361-934F-293BCFF46DAB}
dApplicationFunction,{14D985AF-090B-4b15-A8EF-FE1AB0E23EA2}
dBusinessProcess,{48176930-49D9-4104-AEA0-DE1721B89606}
dBusinessService,{9F2DC9E6-C19C-4466-BD39-216443E8D8C5}
dBusinessUseCase,{EA2C36DB-CAA6-4266-90C6-5CC3E7A1155E}
dCapability,{AD8A466A-B92F-4fbd-BB96-AFED1B482B03}
dCluster,{7E68C070-57B6-4ce7-BC5B-E6F6E89697EC}
dContainer,{5D425066-8C0F-4115-81EB-246B6206A82D}
dController,{BBC97969-A460-490b-84F2-5B4B38866782}
dDataEntity,{43F1D5F7-3A4F-43bb-99DA-BC1125515A5F}
dDecision,{BF488E70-DA65-4d26-B0ED-B1CCBE5533B2}
dDeploymentModel,{78BE6EF7-A5E4-46b0-84AD-B3932F39B25C}
dDeploymentNode,{23F2A1B4-583B-4854-B287-518E33F97F77}
dEvent,{0335D7C4-8F6E-4328-ACFC-12851FA390D2}
dFeature,{B7A598FE-B25B-4ab6-AC7D-54706D29DE29}
dGoal,{C4BBAED1-BFC2-42a1-89B6-5F85E5B23B49}
dGrowthPackage,{C965F5D5-CCF9-434f-811B-4569BBF2FE46}
dInitiative,{53977AC5-AED6-4238-ADC8-8E7F94FB4928}
dIPRange,{BA227C9F-8F56-4d02-88BB-ADBBD1B6FCBF}
dIssue,{87FF78BD-94B1-4a1f-A1BB-2079CA27D58C}
dJSON_Attribute,{64B82117-CB3D-44f0-B6B1-F0519A36F389}
dJSON_Datatype,{0E379EFB-574C-40c7-96A6-B2DFA36420D7}
dJSON_Element,{968E1090-80FC-41e9-8859-392669442D65}
dJSON_Schema,{055E73F9-F2C6-4616-BBD2-D29E6BDFFED7}
dJSON_SchemaSubSet,{97CA581B-6971-4602-B4BB-379E370A8787}
dJSON_Type,{90335BD2-C233-43ab-8EE5-CA86B773E6A9}
dLocation,{4C3565C0-2529-4543-B7E1-9F049FC98449}
dLogicalAppComponent,{7893E7CD-BFE7-4ed4-ABA7-249C06C7BCEE}
dMeasurementArea,{BF67E988-4AAE-4439-9D65-3B53CD18BDBF}
dMeasurementCategory,{1475678A-AA92-4e02-8B50-6C3D747295DE}
dMeasurementGrouping,{AE8A0ADF-01B5-4bc1-863A-E5222637C3E8}
dMeasurementIndicator,{468F5F36-AA19-4a74-96EE-A49AC78F38E8}
dModelClass,{E881BE3A-821E-42da-8BA4-597A1B046612}
dNetwork,{C8057F85-3A22-4de3-A8F0-CDC9D61256A2}
dObject,{59E74D72-6E50-4efe-9941-1F87570577D7}
dObjective,{1526F58C-8207-4872-97A1-918F3C9FB56F}
dOnPremise,{6AC74886-B897-45bb-9516-883951A38F96}
dOpinion,{D0BB972D-28ED-498f-ABF8-4D468CFCBA10}
dOpinionInner,{AFC27792-1A22-4b0d-88BC-04FCAED6A17A}
dOrganizationUnit,{EE0438E8-49A9-4893-8673-F87A70193BBE}
dPhysicalService,{EE3CA6E2-BF2D-416d-8C94-BB88D5371070}
dPrinciple,{EA6108EE-A506-4b6a-895E-DA23D94B2412}
dProduct,{A04DE34C-E0DE-450e-83E4-C8A753109A3E}
dProgram,{E7C60807-7C2A-4726-8B0E-3C315021B12D}
dPublicCluster,{AD10E934-DAE6-4c77-8145-92DFFCABBE23}
dRegion,{81D7C531-591B-41f0-A584-C4D3594CCFC2}
dRequirement,{DEAB0217-D28D-470d-905F-0B57884DD18F}
dResource,{50992834-EC54-476d-A334-4E92040A45FD}
dRisk,{A755E7D0-A225-4704-A9C7-52FDB8745A66}
dRole,{FD3A51B5-EEBB-4ac0-A15B-60AC52D3DEEE}
dSecurityGroup,{DA95E22D-D49D-4be3-99D4-22ABD65AE151}
dSkill,{FACEB000-0664-40d5-BCFF-4EA3BB729BEB}
dStakeholder,{58E7139F-42A9-48f7-98DB-54509576AB93}
dSubNetwork,{A3B7114F-E98E-40cf-BA88-B5A5E93C75CA}
dSystem,{7D42AE1F-E8E7-4027-B1FB-E526560BA1D0}
dTable,{D0289F1F-EF8F-4d36-B351-EE50E7AAECD4}
dTest,{AE0437D8-0604-44cc-B045-A1FAEFFCC92A}
dUserStory,{4903E37D-000D-4191-82A7-76E97B772BAE}
dValue,{DB055B4B-2DEA-4987-9B69-08052135D922}
dValueRef,{DEE4818F-B434-46f0-86CD-8A4D435DD5D3}
dValueStream,{216D8888-846C-4af1-8CFE-4770DAB78F8D}
dView,{9EE2F219-B700-40df-9493-FBBF9D46F34B}
dVolume,{AED574EA-5278-45a7-BAD2-333A294436DE}
dZone,{01A5B8E5-09E8-4e15-91FE-B42FAAB8E9EE}
